project_id,parcel_id,project_name,project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,compensation_pending_days,notification_status,approval_status,approval_processing_days,rehabilitation_progress,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,planned_completion_date,actual_completion_date,delay_days,delay_status,latitude,longitude
PRJ-1134,PCL-10308,Tamil Nadu Inter-River Linking Canal Sector 2,Irrigation / Water Canal,Tamil Nadu,Kanchipuram,20.86,33,Medium,0.69,1,Pending Disbursal,173,Notification Pending,Approved,74,0.97,Contested / Encroached,Hostile / Legal Injunction,349,0.741,2026-05-04,2027-09-06,490,1,10.806885,77.685982
PRJ-1075,PCL-10309,Wind-Solar Hybrid Energy Grid 4,Renewable / Solar Park,Haryana,Gurugram,18.33,24,Very High,0.72,1,Pending Disbursal,241,Possession Taken (Sec 38),Pending Environmental Clearance,230,0.58,Contested / Encroached,Low / Resistant,125,0.615,2023-09-05,2024-11-28,450,1,30.324694,77.312841
PRJ-1076,PCL-10310,Nashik Cargo Terminal Expansion 1,Airport Infrastructure,Maharashtra,Nashik,22.59,61,Low,0.93,0,Fully Disbursed,0,Notification Pending,Approved,93,0.33,Full Possession,High / Cooperative,80,0.648,2026-03-11,,29,0,20.368771,77.71268
PRJ-1183,PCL-10311,Udaipur Cargo Terminal Expansion 5,Airport Infrastructure,Rajasthan,Udaipur,49.47,159,High,0.55,0,Fully Disbursed,0,Preliminary Notification (Sec 11),Approved,64,0.48,Partial Possession (30-70%),Moderate,228,0.366,2025-10-17,2026-03-19,153,1,24.456917,71.374698
PRJ-1202,PCL-10312,Andhra Pradesh Clean Energy Hub Sector 5,Renewable / Solar Park,Andhra Pradesh,Guntur,38.36,52,High,0.76,1,Partially Disbursed,139,Award Declared (Sec 23),Approved,15,0.55,Full Possession,Hostile / Legal Injunction,205,0.283,2024-12-08,2026-02-13,432,1,14.90558,79.607013
PRJ-1229,PCL-10313,NH-92 Four-Laning Bypass Section 1,Highway / Expressway,Odisha,Angul,45.53,85,Medium,0.88,0,Fully Disbursed,0,Possession Taken (Sec 38),Conditional Clearance,203,0.55,Substantial Possession (>70%),Hostile / Legal Injunction,162,0.648,2024-04-08,2024-12-05,241,1,21.823185,84.286516
PRJ-1045,PCL-10314,Uttar Pradesh Clean Energy Hub Sector 2,Renewable / Solar Park,Uttar Pradesh,Prayagraj,119.01,238,High,0.94,0,Partially Disbursed,126,Preliminary Notification (Sec 11),Approved,79,0.5,Substantial Possession (>70%),Moderate,150,0.194,2024-12-29,,120,1,25.538374,79.687448
PRJ-1237,PCL-10315,Aviation Logistics Runway Package 2,Airport Infrastructure,Odisha,Sundargarh,33.34,72,Low,0.91,0,Fully Disbursed,0,Award Declared (Sec 23),Conditional Clearance,168,0.47,Full Possession,High / Cooperative,167,0.681,2023-06-26,2023-07-31,35,0,21.396642,86.089158
PRJ-1238,PCL-10316,Western Freight Corridor Spur Line 2,Railway & Freight Corridor,Andhra Pradesh,Nellore,34.65,20,Low,0.77,0,Fully Disbursed,0,Award Declared (Sec 23),Approved,46,0.46,Substantial Possession (>70%),Moderate,163,0.247,2026-02-25,,37,0,15.037889,81.926976
PRJ-1062,PCL-10317,Rajasthan Inter-River Linking Canal Sector 2,Irrigation / Water Canal,Rajasthan,Jaipur,25.74,48,Medium,0.7,0,Fully Disbursed,0,Award Declared (Sec 23),Under Scrutiny,201,0.54,Substantial Possession (>70%),High / Cooperative,121,0.235,2024-09-07,2024-09-25,18,0,27.414761,73.958996
PRJ-1062,PCL-10318,Rajasthan Inter-River Linking Canal Sector 2,Irrigation / Water Canal,Rajasthan,Jaipur,29.76,21,Low,0.7,0,Partially Disbursed,64,Award Declared (Sec 23),Approved,30,0.81,Full Possession,Moderate,182,0.307,2024-09-07,2024-09-07,0,0,25.69209,75.374448
PRJ-1183,PCL-10319,Udaipur Cargo Terminal Expansion 5,Airport Infrastructure,Rajasthan,Udaipur,13.66,45,Low,0.6,0,Partially Disbursed,72,Notification Pending,Approved,15,0.6,Full Possession,High / Cooperative,177,0.326,2025-10-17,2025-11-10,24,0,24.264346,72.770818
PRJ-1139,PCL-10320,NH-95 Four-Laning Bypass Section 2,Highway / Expressway,Maharashtra,Nagpur,15.16,11,Medium,0.74,1,Pending Disbursal,280,Possession Taken (Sec 38),Approved,46,0.75,Contested / Encroached,Moderate,194,0.358,2024-10-03,,286,1,20.037787,77.455419
PRJ-1258,PCL-10321,Odisha Integrated Industrial Township 2,Industrial Corridor / SEZ,Odisha,Cuttack,54.66,100,Medium,0.93,0,Partially Disbursed,171,Preliminary Notification (Sec 11),Approved,30,0.49,Initial Stage (<30%),Moderate,248,0.635,2024-03-08,2024-11-11,248,1,20.124895,84.558725
PRJ-1068,PCL-10322,Maharashtra Inter-River Linking Canal Sector 2,Irrigation / Water Canal,Maharashtra,Pune,53.14,56,Medium,0.88,0,Partially Disbursed,117,Declaration Published (Sec 19),Conditional Clearance,273,0.5,Full Possession,Moderate,269,0.182,2024-02-01,2024-02-28,27,0,20.727888,76.118917
PRJ-1114,PCL-10323,NH-63 Four-Laning Bypass Section 3,Highway / Expressway,Odisha,Sundargarh,5.24,5,Low,0.89,0,Fully Disbursed,0,Preliminary Notification (Sec 11),Approved,72,0.44,Partial Possession (30-70%),High / Cooperative,212,0.406,2026-10-05,,2,0,19.884658,85.924459
PRJ-1056,PCL-10324,Coimbatore Greenfield International Airport Phase 2,Airport Infrastructure,Tamil Nadu,Coimbatore,86.27,266,High,0.85,1,Pending Disbursal,95,Preliminary Notification (Sec 11),Conditional Clearance,157,0.83,Contested / Encroached,Hostile / Legal Injunction,107,0.424,2024-01-01,2025-01-14,379,1,9.661495,79.095345
PRJ-1103,PCL-10325,Command Area Distribution Network 4,Irrigation / Water Canal,Madhya Pradesh,Bhopal,10.03,2,High,0.84,0,Fully Disbursed,0,Declaration Published (Sec 19),Pending Environmental Clearance,110,0.74,Partial Possession (30-70%),Hostile / Legal Injunction,184,0.347,2023-04-22,2024-03-18,331,1,22.86304,77.299815
PRJ-1259,PCL-10326,Visakhapatnam Metro Rail Extension Corridor 1,Urban Metro / Transit,Andhra Pradesh,Visakhapatnam,88.45,271,Low,0.52,0,Fully Disbursed,0,Notification Pending,Approved,59,0.38,Partial Possession (30-70%),High / Cooperative,360,0.411,2024-03-19,2024-04-19,31,0,16.559036,78.535618
PRJ-1259,PCL-10327,Visakhapatnam Metro Rail Extension Corridor 1,Urban Metro / Transit,Andhra Pradesh,Visakhapatnam,5.0,28,Low,0.93,0,Pending Disbursal,284,Possession Taken (Sec 38),Approved,15,0.5,Partial Possession (30-70%),Moderate,213,0.68,2024-03-19,2024-10-31,226,1,17.795706,80.376106
PRJ-1161,PCL-10328,Andhra Pradesh Integrated Industrial Township 1,Industrial Corridor / SEZ,Andhra Pradesh,Visakhapatnam,5.0,2,High,0.82,1,Fully Disbursed,0,Award Declared (Sec 23),Under Scrutiny,200,0.88,Partial Possession (30-70%),Low / Resistant,121,0.345,2023-06-19,2024-04-08,294,1,14.593908,78.590549
PRJ-1160,PCL-10329,Rajasthan Dedicated High-Speed Rail Segment 4,Railway & Freight Corridor,Rajasthan,Kota,90.18,87,Medium,0.76,1,Disputed in Escrow,638,Possession Taken (Sec 38),Pending Environmental Clearance,166,0.59,Partial Possession (30-70%),Hostile / Legal Injunction,218,0.495,2025-08-02,2027-01-16,532,1,27.073005,76.012432
PRJ-1054,PCL-10330,Haryana Inter-River Linking Canal Sector 4,Irrigation / Water Canal,Haryana,Hisar,47.15,83,Low,0.24,0,Pending Disbursal,176,Preliminary Notification (Sec 11),Approved,64,0.84,Full Possession,Moderate,64,0.56,2027-04-14,2027-11-04,204,1,29.001287,76.543059
PRJ-1207,PCL-10331,DMIC Special Investment Region Node 3,Industrial Corridor / SEZ,Madhya Pradesh,Gwalior,18.67,36,Low,0.64,0,Fully Disbursed,0,Possession Taken (Sec 38),Approved,15,0.73,Partial Possession (30-70%),Moderate,238,0.179,2022-08-02,2022-09-15,44,0,22.590154,80.413898
PRJ-1249,PCL-10332,Rajasthan Inter-River Linking Canal Sector 1,Irrigation / Water Canal,Rajasthan,Jodhpur,33.14,47,Low,0.38,1,Disputed in Escrow,195,Preliminary Notification (Sec 11),Conditional Clearance,229,0.62,Contested / Encroached,Low / Resistant,358,0.161,2025-02-05,,397,1,26.300224,71.919507
PRJ-1092,PCL-10333,Wind-Solar Hybrid Energy Grid 5,Renewable / Solar Park,Haryana,Karnal,50.92,46,Medium,0.51,0,Partially Disbursed,156,Possession Taken (Sec 38),Approved,19,0.55,Partial Possession (30-70%),High / Cooperative,182,0.737,2022-11-23,2023-01-09,47,0,28.968319,76.840488
PRJ-1134,PCL-10334,Tamil Nadu Inter-River Linking Canal Sector 2,Irrigation / Water Canal,Tamil Nadu,Kanchipuram,16.95,22,Low,0.89,0,Pending Disbursal,150,Possession Taken (Sec 38),Under Scrutiny,159,0.5,Initial Stage (<30%),Moderate,200,0.361,2026-05-04,,126,1,11.39429,79.559393
PRJ-1091,PCL-10335,Urban Flyover & Transit Hub 2,Urban Metro / Transit,Odisha,Cuttack,37.45,86,Medium,0.9,0,Partially Disbursed,154,Preliminary Notification (Sec 11),Under Scrutiny,121,0.49,Substantial Possession (>70%),High / Cooperative,279,0.566,2026-06-15,2026-08-20,66,0,20.997333,86.372974
PRJ-1241,PCL-10336,Western Freight Corridor Spur Line 3,Railway & Freight Corridor,Madhya Pradesh,Gwalior,24.93,34,Medium,0.75,0,Partially Disbursed,120,Award Declared (Sec 23),Approved,17,0.69,Full Possession,High / Cooperative,340,0.725,2026-06-08,2027-03-02,267,1,24.144009,80.517849
PRJ-1179,PCL-10337,Vadodara Greenfield International Airport Phase 5,Airport Infrastructure,Gujarat,Vadodara,53.67,188,High,0.83,0,Disputed in Escrow,390,Award Declared (Sec 23),Approved,15,0.87,Partial Possession (30-70%),Moderate,96,0.5,2024-08-04,2025-07-17,347,1,23.397705,71.619455
PRJ-1160,PCL-10338,Rajasthan Dedicated High-Speed Rail Segment 4,Railway & Freight Corridor,Rajasthan,Kota,42.78,41,Low,0.89,1,Pending Disbursal,325,Possession Taken (Sec 38),Under Scrutiny,179,0.54,Contested / Encroached,High / Cooperative,230,0.336,2025-08-02,2026-03-04,214,1,26.657139,76.421295
PRJ-1012,PCL-10339,Uttar Pradesh Dedicated High-Speed Rail Segment 5,Railway & Freight Corridor,Uttar Pradesh,Noida,35.08,47,Medium,0.57,0,Partially Disbursed,116,Possession Taken (Sec 38),Under Scrutiny,159,0.36,Partial Possession (30-70%),Moderate,408,0.555,2026-03-01,2026-11-30,274,1,28.4016,80.089783
PRJ-1187,PCL-10340,Krishna Multi-Modal Logistics Park 3,Industrial Corridor / SEZ,Andhra Pradesh,Krishna,18.52,36,Very High,0.71,0,Fully Disbursed,0,Award Declared (Sec 23),Approved,40,0.65,Contested / Encroached,High / Cooperative,144,0.596,2024-03-30,2024-12-04,249,1,18.315482,79.038617
PRJ-1116,PCL-10341,Coimbatore Lift Irrigation Main Canal Reach 4,Irrigation / Water Canal,Tamil Nadu,Coimbatore,17.24,16,Medium,0.82,0,Partially Disbursed,165,Possession Taken (Sec 38),Approved,22,0.45,Full Possession,Moderate,208,0.453,2024-07-16,2025-03-04,231,1,11.673546,80.019617
PRJ-1155,PCL-10342,Andhra Pradesh Inter-River Linking Canal Sector 5,Irrigation / Water Canal,Andhra Pradesh,Guntur,27.77,43,Low,0.73,0,Partially Disbursed,170,Declaration Published (Sec 19),Pending Environmental Clearance,178,0.86,Substantial Possession (>70%),High / Cooperative,178,0.252,2022-06-15,2022-07-27,42,0,16.270414,79.519554
PRJ-1096,PCL-10343,Mysuru Ultra Mega Solar Park Unit 1,Renewable / Solar Park,Karnataka,Mysuru,12.17,11,Medium,0.89,0,Partially Disbursed,141,Notification Pending,Conditional Clearance,97,0.68,Full Possession,High / Cooperative,345,0.345,2024-12-22,2025-06-21,181,1,15.376532,75.231449
PRJ-1124,PCL-10344,Industrial Rail Siding Network 2,Railway & Freight Corridor,Haryana,Panipat,25.94,13,Medium,0.71,0,Fully Disbursed,0,Declaration Published (Sec 19),Conditional Clearance,193,0.43,Full Possession,High / Cooperative,49,0.547,2026-09-30,,15,0,28.411134,76.852083
PRJ-1121,PCL-10345,Haryana Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Haryana,Panipat,26.07,20,Low,0.83,0,Partially Disbursed,141,Possession Taken (Sec 38),Under Scrutiny,155,0.7,Full Possession,Moderate,169,0.497,2025-08-19,,91,1,29.024078,75.765761
PRJ-1133,PCL-10346,Urban Flyover & Transit Hub 2,Urban Metro / Transit,Madhya Pradesh,Jabalpur,8.91,27,Medium,0.66,0,Partially Disbursed,44,Preliminary Notification (Sec 11),Approved,15,0.34,Full Possession,High / Cooperative,296,0.173,2023-10-11,2024-01-10,91,1,25.524547,76.827741
PRJ-1209,PCL-10347,Haryana Inter-River Linking Canal Sector 2,Irrigation / Water Canal,Haryana,Panipat,13.53,38,Medium,0.7,0,Fully Disbursed,0,Notification Pending,Conditional Clearance,151,0.5,Initial Stage (<30%),Moderate,30,0.735,2023-08-10,2024-03-14,217,1,30.202256,76.826177
PRJ-1129,PCL-10348,Thane Metro Rail Extension Corridor 4,Urban Metro / Transit,Maharashtra,Thane,24.29,68,High,0.87,0,Partially Disbursed,90,Possession Taken (Sec 38),Approved,59,0.51,Full Possession,Moderate,144,0.532,2026-07-27,2027-05-24,301,1,19.489708,73.627592
PRJ-1210,PCL-10349,Aviation Logistics Runway Package 3,Airport Infrastructure,Rajasthan,Jaipur,17.92,50,Medium,0.85,1,Pending Disbursal,216,Award Declared (Sec 23),Pending Environmental Clearance,176,0.25,Contested / Encroached,Low / Resistant,183,0.325,2023-07-12,2024-09-09,425,1,25.168946,74.527938
PRJ-1189,PCL-10350,Haryana Green Express Corridor Phase 3,Highway / Expressway,Haryana,Gurugram,47.52,99,Medium,0.78,0,Pending Disbursal,212,Award Declared (Sec 23),Under Scrutiny,127,0.46,Partial Possession (30-70%),Moderate,320,0.371,2025-06-08,2025-07-20,42,0,30.021277,75.590041
PRJ-1063,PCL-10351,Western Freight Corridor Spur Line 2,Railway & Freight Corridor,Uttar Pradesh,Varanasi,13.96,33,Low,0.45,0,Pending Disbursal,244,Preliminary Notification (Sec 11),Pending Environmental Clearance,166,0.73,Contested / Encroached,Low / Resistant,89,0.408,2023-06-17,2024-01-11,208,1,26.868696,79.326462
PRJ-1083,PCL-10352,Tamil Nadu Clean Energy Hub Sector 5,Renewable / Solar Park,Tamil Nadu,Madurai,21.54,48,High,0.44,1,Disputed in Escrow,601,Possession Taken (Sec 38),Under Scrutiny,222,0.72,Partial Possession (30-70%),Moderate,292,0.444,2026-02-06,2027-03-24,411,1,12.664029,79.007193
PRJ-1052,PCL-10353,Angul Metro Rail Extension Corridor 2,Urban Metro / Transit,Odisha,Angul,14.47,41,Medium,0.78,0,Partially Disbursed,146,Preliminary Notification (Sec 11),Conditional Clearance,80,0.68,Substantial Possession (>70%),Moderate,305,0.81,2026-05-21,2026-11-17,180,1,21.693442,85.935902
PRJ-1070,PCL-10354,Command Area Distribution Network 1,Irrigation / Water Canal,Rajasthan,Jaipur,7.79,17,Medium,0.48,0,Partially Disbursed,63,Notification Pending,Under Scrutiny,94,0.53,Partial Possession (30-70%),High / Cooperative,188,0.561,2025-08-31,2026-02-25,178,1,24.063534,72.230444
PRJ-1069,PCL-10355,DMIC Special Investment Region Node 3,Industrial Corridor / SEZ,Andhra Pradesh,Krishna,43.36,65,High,0.63,0,Fully Disbursed,0,Possession Taken (Sec 38),Pending Environmental Clearance,123,0.38,Initial Stage (<30%),Moderate,88,0.747,2024-09-29,2025-06-11,255,1,15.196991,81.418588
PRJ-1012,PCL-10356,Uttar Pradesh Dedicated High-Speed Rail Segment 5,Railway & Freight Corridor,Uttar Pradesh,Noida,59.75,83,High,0.73,1,Disputed in Escrow,266,Preliminary Notification (Sec 11),Approved,30,0.52,Partial Possession (30-70%),Hostile / Legal Injunction,190,0.485,2026-03-01,,529,1,28.188582,81.544376
PRJ-1189,PCL-10357,Haryana Green Express Corridor Phase 3,Highway / Expressway,Haryana,Gurugram,8.85,10,Medium,0.41,0,Pending Disbursal,343,Preliminary Notification (Sec 11),Approved,25,0.8,Partial Possession (30-70%),Low / Resistant,186,0.433,2025-06-08,2026-06-16,373,1,28.458295,76.627762
PRJ-1137,PCL-10358,Bharatmala Economic Highway Ring 2,Highway / Expressway,Haryana,Faridabad,71.19,48,High,0.74,0,Fully Disbursed,0,Declaration Published (Sec 19),Approved,31,0.52,Substantial Possession (>70%),Low / Resistant,306,0.432,2023-09-09,2024-05-23,257,1,28.741109,76.488919
PRJ-1149,PCL-10359,Wind-Solar Hybrid Energy Grid 1,Renewable / Solar Park,Madhya Pradesh,Ujjain,8.62,16,Low,0.87,0,Fully Disbursed,0,Possession Taken (Sec 38),Approved,15,0.92,Full Possession,Moderate,262,0.65,2026-01-31,2026-03-04,32,0,26.344964,76.557108
PRJ-1197,PCL-10360,Bharuch Cargo Terminal Expansion 1,Airport Infrastructure,Gujarat,Bharuch,26.38,63,Low,0.32,0,Fully Disbursed,0,Award Declared (Sec 23),Resubmission Required,157,0.73,Initial Stage (<30%),High / Cooperative,250,0.195,2023-08-18,2023-08-18,0,0,23.104514,72.288858
PRJ-1024,PCL-10361,Industrial Rail Siding Network 5,Railway & Freight Corridor,Karnataka,Kalaburagi,15.84,9,Very High,0.63,1,Disputed in Escrow,201,Notification Pending,Approved,67,0.72,Substantial Possession (>70%),Low / Resistant,331,0.254,2026-08-23,2027-11-20,454,1,12.576269,76.164534
PRJ-1240,PCL-10362,Suburban Commuter Rapid Transit Line 3,Urban Metro / Transit,Madhya Pradesh,Gwalior,53.09,177,Medium,0.48,1,Partially Disbursed,101,Award Declared (Sec 23),Pending Environmental Clearance,150,0.5,Partial Possession (30-70%),High / Cooperative,241,0.78,2026-01-18,2026-12-22,338,1,22.630446,77.080831
PRJ-1136,PCL-10363,Jaipur Lift Irrigation Main Canal Reach 5,Irrigation / Water Canal,Rajasthan,Jaipur,34.97,34,Medium,0.88,0,Partially Disbursed,142,Preliminary Notification (Sec 11),Approved,15,0.72,Full Possession,High / Cooperative,178,0.59,2022-10-14,2023-01-25,103,1,26.32468,73.621075
PRJ-1241,PCL-10364,Western Freight Corridor Spur Line 3,Railway & Freight Corridor,Madhya Pradesh,Gwalior,54.22,70,Very High,0.59,1,Pending Disbursal,338,Possession Taken (Sec 38),Under Scrutiny,140,0.67,Contested / Encroached,Hostile / Legal Injunction,269,0.323,2026-06-08,,422,1,23.194985,79.568162
PRJ-1048,PCL-10365,Madhya Pradesh Green Express Corridor Phase 3,Highway / Expressway,Madhya Pradesh,Gwalior,13.85,29,Medium,0.78,0,Partially Disbursed,84,Notification Pending,Resubmission Required,94,0.58,Full Possession,Moderate,57,0.099,2025-09-05,,16,0,22.946428,76.868345
PRJ-1040,PCL-10366,DMIC Special Investment Region Node 1,Industrial Corridor / SEZ,Tamil Nadu,Madurai,24.73,15,Low,0.99,0,Fully Disbursed,0,Award Declared (Sec 23),Under Scrutiny,100,0.44,Initial Stage (<30%),High / Cooperative,244,0.351,2025-05-05,,35,0,10.386935,78.594143
PRJ-1042,PCL-10367,Industrial Rail Siding Network 1,Railway & Freight Corridor,Gujarat,Bharuch,5.0,10,Medium,0.61,0,Fully Disbursed,0,Preliminary Notification (Sec 11),Under Scrutiny,186,0.85,Initial Stage (<30%),High / Cooperative,396,0.242,2023-08-16,2023-09-22,37,0,22.384676,72.163909
PRJ-1067,PCL-10368,Sundargarh Cargo Terminal Expansion 2,Airport Infrastructure,Odisha,Sundargarh,36.93,127,Low,0.19,1,Disputed in Escrow,375,Preliminary Notification (Sec 11),Approved,39,0.7,Substantial Possession (>70%),High / Cooperative,139,0.671,2024-02-16,2024-11-28,286,1,20.099554,84.181442
PRJ-1205,PCL-10369,Rajasthan Dedicated High-Speed Rail Segment 2,Railway & Freight Corridor,Rajasthan,Jaipur,25.0,19,High,0.74,0,Partially Disbursed,60,Award Declared (Sec 23),Under Scrutiny,100,0.38,Substantial Possession (>70%),Moderate,227,0.535,2024-08-20,2025-06-25,309,1,24.442429,76.07884
PRJ-1159,PCL-10370,Nagpur Ultra Mega Solar Park Unit 2,Renewable / Solar Park,Maharashtra,Nagpur,43.7,44,Low,0.78,0,Fully Disbursed,0,Possession Taken (Sec 38),Under Scrutiny,169,0.81,Substantial Possession (>70%),High / Cooperative,171,0.504,2024-06-10,2024-07-07,27,0,20.670829,76.912487
PRJ-1217,PCL-10371,Gwalior Greenfield International Airport Phase 3,Airport Infrastructure,Madhya Pradesh,Gwalior,30.72,78,Medium,0.68,0,Partially Disbursed,87,Declaration Published (Sec 19),Pending Environmental Clearance,87,0.66,Substantial Possession (>70%),High / Cooperative,232,0.333,2025-01-24,,29,0,25.618375,78.978754
PRJ-1240,PCL-10372,Suburban Commuter Rapid Transit Line 3,Urban Metro / Transit,Madhya Pradesh,Gwalior,18.47,37,Low,0.76,0,Pending Disbursal,357,Possession Taken (Sec 38),Approved,82,0.26,Full Possession,High / Cooperative,203,0.507,2026-01-18,,213,1,23.974364,80.856129
PRJ-1056,PCL-10373,Coimbatore Greenfield International Airport Phase 2,Airport Infrastructure,Tamil Nadu,Coimbatore,85.51,228,High,0.75,1,Pending Disbursal,347,Preliminary Notification (Sec 11),Approved,46,0.87,Initial Stage (<30%),Hostile / Legal Injunction,249,0.307,2024-01-01,2025-06-10,526,1,11.286215,78.33036
PRJ-1094,PCL-10374,DMIC Special Investment Region Node 1,Industrial Corridor / SEZ,Rajasthan,Alwar,39.59,55,Medium,0.72,0,Partially Disbursed,145,Notification Pending,Conditional Clearance,121,0.63,Full Possession,High / Cooperative,329,0.601,2026-11-28,2026-12-15,17,0,27.758803,71.317026
PRJ-1109,PCL-10375,Kurnool Ultra Mega Solar Park Unit 3,Renewable / Solar Park,Andhra Pradesh,Kurnool,44.88,67,High,0.89,0,Fully Disbursed,0,Preliminary Notification (Sec 11),Approved,15,0.37,Partial Possession (30-70%),High / Cooperative,286,0.199,2026-09-17,2026-10-06,19,0,14.864385,81.710444
PRJ-1250,PCL-10376,Andhra Pradesh Integrated Industrial Township 5,Industrial Corridor / SEZ,Andhra Pradesh,Guntur,44.37,49,Medium,0.37,1,Disputed in Escrow,224,Declaration Published (Sec 19),Approved,56,0.73,Substantial Possession (>70%),Hostile / Legal Injunction,30,0.63,2026-08-26,2027-12-31,492,1,15.38232,82.034349
PRJ-1097,PCL-10377,NH-71 Four-Laning Bypass Section 3,Highway / Expressway,Tamil Nadu,Tiruchirappalli,32.28,49,Medium,0.66,0,Partially Disbursed,78,Preliminary Notification (Sec 11),Approved,45,0.65,Substantial Possession (>70%),High / Cooperative,292,0.502,2026-02-04,,3,0,12.470641,77.698611
PRJ-1086,PCL-10378,Suburban Commuter Rapid Transit Line 1,Urban Metro / Transit,Haryana,Hisar,57.39,155,High,0.58,0,Fully Disbursed,0,Award Declared (Sec 23),Under Scrutiny,112,0.85,Partial Possession (30-70%),High / Cooperative,60,0.365,2024-10-11,,115,1,30.215797,76.953684
PRJ-1222,PCL-10379,DMIC Special Investment Region Node 4,Industrial Corridor / SEZ,Uttar Pradesh,Kanpur,24.52,29,Medium,0.92,0,Partially Disbursed,154,Notification Pending,Under Scrutiny,90,0.68,Substantial Possession (>70%),Moderate,136,0.191,2025-08-20,2025-09-28,39,0,28.380256,82.632528
PRJ-1250,PCL-10380,Andhra Pradesh Integrated Industrial Township 5,Industrial Corridor / SEZ,Andhra Pradesh,Guntur,20.53,2,Medium,0.83,0,Partially Disbursed,151,Preliminary Notification (Sec 11),Under Scrutiny,187,0.32,Initial Stage (<30%),Moderate,199,0.42,2026-08-26,2027-04-16,233,1,15.070385,78.347453
PRJ-1011,PCL-10381,Urban Flyover & Transit Hub 3,Urban Metro / Transit,Gujarat,Surat,233.45,655,High,0.65,1,Disputed in Escrow,488,Possession Taken (Sec 38),Approved,112,0.66,Partial Possession (30-70%),Low / Resistant,139,0.337,2026-11-02,2028-06-21,597,1,21.517867,72.24532
PRJ-1185,PCL-10382,Bhopal Ultra Mega Solar Park Unit 2,Renewable / Solar Park,Madhya Pradesh,Bhopal,40.67,72,Medium,0.88,0,Partially Disbursed,63,Declaration Published (Sec 19),Approved,15,0.62,Substantial Possession (>70%),High / Cooperative,281,0.613,2026-11-26,2027-03-13,107,1,25.55228,80.168432
PRJ-1253,PCL-10383,Suburban Commuter Rapid Transit Line 1,Urban Metro / Transit,Odisha,Jajpur,18.48,27,Low,0.84,0,Fully Disbursed,0,Notification Pending,Approved,62,0.58,Full Possession,Low / Resistant,148,0.336,2023-07-06,2023-07-30,24,0,20.339495,84.615469
PRJ-1117,PCL-10384,NH-57 Four-Laning Bypass Section 1,Highway / Expressway,Tamil Nadu,Kanchipuram,10.18,17,Low,0.63,1,Disputed in Escrow,316,Declaration Published (Sec 19),Pending Environmental Clearance,65,0.64,Contested / Encroached,High / Cooperative,148,0.578,2024-11-09,,242,1,9.960339,77.744696
PRJ-1026,PCL-10385,Gujarat Integrated Industrial Township 3,Industrial Corridor / SEZ,Gujarat,Ahmedabad,13.86,37,High,0.84,1,Pending Disbursal,142,Notification Pending,Approved,15,0.76,Substantial Possession (>70%),High / Cooperative,231,0.583,2024-10-07,2025-07-29,295,1,23.737233,70.976438
PRJ-1186,PCL-10386,Surat Cargo Terminal Expansion 3,Airport Infrastructure,Gujarat,Surat,48.64,143,Medium,0.71,0,Partially Disbursed,115,Declaration Published (Sec 19),Approved,15,0.8,Full Possession,Moderate,189,0.244,2026-06-10,2026-07-19,39,0,21.505394,70.335341
PRJ-1004,PCL-10387,Maharashtra Inter-River Linking Canal Sector 3,Irrigation / Water Canal,Maharashtra,Nagpur,11.4,22,Medium,0.66,0,Partially Disbursed,122,Declaration Published (Sec 19),Approved,48,0.69,Partial Possession (30-70%),High / Cooperative,226,0.253,2024-04-03,2024-04-16,13,0,18.761417,78.228529
PRJ-1117,PCL-10388,NH-57 Four-Laning Bypass Section 1,Highway / Expressway,Tamil Nadu,Kanchipuram,31.12,57,High,0.8,1,Disputed in Escrow,195,Possession Taken (Sec 38),Approved,98,0.72,Full Possession,Hostile / Legal Injunction,355,0.652,2024-11-09,2026-04-26,533,1,10.019181,78.379351
PRJ-1044,PCL-10389,Urban Flyover & Transit Hub 2,Urban Metro / Transit,Madhya Pradesh,Jabalpur,26.54,91,Medium,0.67,1,Disputed in Escrow,257,Notification Pending,Approved,87,0.55,Initial Stage (<30%),High / Cooperative,209,0.425,2023-04-08,2024-02-27,325,1,24.25,78.25
PRJ-1152,PCL-10390,Urban Flyover & Transit Hub 5,Urban Metro / Transit,Madhya Pradesh,Ujjain,7.99,33,High,0.6,1,Pending Disbursal,233,Notification Pending,Under Scrutiny,184,0.39,Substantial Possession (>70%),Low / Resistant,30,0.505,2024-10-11,2025-12-31,446,1,23.894943,80.71901
PRJ-1227,PCL-10391,Industrial Rail Siding Network 3,Railway & Freight Corridor,Rajasthan,Jodhpur,21.21,36,Medium,0.75,0,Fully Disbursed,0,Award Declared (Sec 23),Approved,23,0.8,Partial Possession (30-70%),High / Cooperative,76,0.216,2024-01-17,2024-01-17,0,0,27.118872,76.287282
PRJ-1146,PCL-10392,Dharwad Multi-Modal Logistics Park 4,Industrial Corridor / SEZ,Karnataka,Dharwad,17.71,25,Low,0.9,1,Disputed in Escrow,456,Notification Pending,Approved,83,0.71,Contested / Encroached,Moderate,267,0.771,2025-10-19,2026-09-26,342,1,13.597299,76.187349
