parcel_id,project_id,state,district,latitude,longitude,project_type,land_area_acres,affected_families,affected_family_density,land_area_per_family,documentation_completeness_pct,rehabilitation_progress_pct,legal_dispute_indicator,compensation_pending_days,approval_processing_days,approval_delay_days,administrative_processing_days,historical_delay_rate,compensation_status,notification_status,approval_status,possession_status,stakeholder_responsiveness,ownership_complexity,ownership_complexity_score,stakeholder_response_score,possession_progress_score,operational_friction_index,target_delay_status,target_delay_days
PCL-10745,PRJ-1250,Andhra Pradesh,Guntur,15.149323,82.885953,Industrial Corridor / SEZ,73.32,102,1.3912,0.7188,60.0,58.0,0,142,15,0,204,0.732,Partially Disbursed,Award Declared (Sec 23),Approved,Full Possession,High / Cooperative,Low,1,4,5,25.69,0,77
PCL-10746,PRJ-1212,Karnataka,Dharwad,16.589122,77.346642,Highway / Expressway,10.04,15,1.494,0.6693,63.0,73.0,0,0,129,69,269,0.331,Fully Disbursed,Notification Pending,Conditional Clearance,Full Possession,Moderate,Medium,2,3,5,23.94,1,235
PCL-10747,PRJ-1012,Uttar Pradesh,Noida,25.52759,82.207492,Railway & Freight Corridor,191.28,342,1.788,0.5593,94.0,49.0,0,0,146,86,239,0.606,Fully Disbursed,Possession Taken (Sec 38),Conditional Clearance,Full Possession,Low / Resistant,High,3,2,5,22.76,1,204
PCL-10748,PRJ-1186,Gujarat,Surat,22.015735,72.031743,Airport Infrastructure,37.03,128,3.4567,0.2893,83.0,54.0,1,135,85,25,229,0.471,Partially Disbursed,Possession Taken (Sec 38),Approved,Initial Stage (<30%),Moderate,Low,1,3,2,50.89,1,300
PCL-10749,PRJ-1192,Karnataka,Mysuru,12.629386,75.949062,Renewable / Solar Park,58.49,32,0.5471,1.8278,93.0,27.0,0,177,98,38,161,0.838,Partially Disbursed,Award Declared (Sec 23),Under Scrutiny,Partial Possession (30-70%),Moderate,Medium,2,3,3,25.76,1,142
PCL-10750,PRJ-1058,Uttar Pradesh,Prayagraj,26.857992,82.362391,Irrigation / Water Canal,53.0,99,1.8679,0.5353,75.0,57.0,0,564,218,158,284,0.392,Disputed in Escrow,Preliminary Notification (Sec 11),Conditional Clearance,Partial Possession (30-70%),Low / Resistant,Low,1,2,3,42.45,1,284
PCL-10751,PRJ-1078,Tamil Nadu,Salem,11.761509,77.27638,Airport Infrastructure,5.0,19,3.8,0.2631,47.0,40.0,0,311,51,0,59,0.173,Pending Disbursal,Preliminary Notification (Sec 11),Approved,Partial Possession (30-70%),Moderate,Low,1,3,3,35.34,1,212
PCL-10752,PRJ-1005,Gujarat,Ahmedabad,21.703167,70.929458,Industrial Corridor / SEZ,49.62,50,1.0077,0.9924,86.0,39.0,0,81,125,65,192,0.378,Partially Disbursed,Notification Pending,Pending Environmental Clearance,Initial Stage (<30%),Moderate,Low,1,3,2,23.18,0,22
PCL-10753,PRJ-1097,Tamil Nadu,Tiruchirappalli,12.178173,77.689047,Highway / Expressway,126.17,117,0.9273,1.0784,74.0,80.0,0,168,159,99,314,0.678,Partially Disbursed,Award Declared (Sec 23),Resubmission Required,Full Possession,Moderate,Low,1,3,5,29.63,1,229
PCL-10754,PRJ-1107,Rajasthan,Udaipur,24.937486,72.013405,Urban Metro / Transit,44.94,193,4.2946,0.2328,87.0,32.0,0,0,74,14,46,0.563,Fully Disbursed,Possession Taken (Sec 38),Approved,Initial Stage (<30%),Low / Resistant,Medium,2,2,2,18.62,1,223
PCL-10755,PRJ-1107,Rajasthan,Udaipur,25.723833,73.686193,Urban Metro / Transit,9.6,29,3.0208,0.331,71.0,78.0,0,0,182,122,329,0.136,Fully Disbursed,Declaration Published (Sec 19),Under Scrutiny,Substantial Possession (>70%),High / Cooperative,Low,1,4,4,20.34,0,7
PCL-10756,PRJ-1108,Madhya Pradesh,Indore,22.579577,78.180294,Industrial Corridor / SEZ,7.22,14,1.9391,0.5157,98.0,75.0,0,589,58,0,156,0.299,Disputed in Escrow,Notification Pending,Approved,Partial Possession (30-70%),High / Cooperative,Medium,2,4,3,23.75,1,267
PCL-10757,PRJ-1234,Madhya Pradesh,Ujjain,22.12104,77.482186,Industrial Corridor / SEZ,34.09,47,1.3787,0.7253,40.0,52.0,1,123,165,105,30,0.201,Pending Disbursal,Possession Taken (Sec 38),Pending Environmental Clearance,Initial Stage (<30%),High / Cooperative,Very High,4,4,2,47.98,1,249
PCL-10758,PRJ-1200,Rajasthan,Kota,27.904144,71.143515,Renewable / Solar Park,100.03,197,1.9694,0.5078,71.0,42.0,1,270,25,0,288,0.51,Disputed in Escrow,Notification Pending,Approved,Initial Stage (<30%),Hostile / Legal Injunction,High,3,1,2,69.75,1,454
PCL-10759,PRJ-1020,Madhya Pradesh,Indore,22.319198,80.185234,Renewable / Solar Park,44.94,74,1.6466,0.6073,50.0,65.0,0,0,83,23,287,0.354,Fully Disbursed,Declaration Published (Sec 19),Approved,Substantial Possession (>70%),High / Cooperative,Medium,2,4,4,24.26,1,91
PCL-10760,PRJ-1093,Tamil Nadu,Kanchipuram,10.791231,79.917359,Railway & Freight Corridor,9.81,10,1.0194,0.9809,84.0,29.0,0,0,125,65,254,0.427,Fully Disbursed,Award Declared (Sec 23),Under Scrutiny,Full Possession,High / Cooperative,Low,1,4,5,19.82,1,130
PCL-10761,PRJ-1015,Rajasthan,Alwar,27.96081,71.251914,Renewable / Solar Park,15.57,21,1.3487,0.7414,61.0,55.0,1,358,27,0,98,0.41,Pending Disbursal,Declaration Published (Sec 19),Approved,Full Possession,High / Cooperative,High,3,4,5,55.69,1,382
PCL-10762,PRJ-1034,Haryana,Hisar,28.319785,76.45381,Urban Metro / Transit,12.56,61,4.8567,0.2059,61.0,77.0,1,90,183,123,135,0.318,Pending Disbursal,Award Declared (Sec 23),Under Scrutiny,Contested / Encroached,Low / Resistant,High,3,2,1,51.36,1,373
PCL-10763,PRJ-1188,Andhra Pradesh,Krishna,18.260384,81.325317,Railway & Freight Corridor,23.65,19,0.8034,1.2447,83.0,79.0,0,0,35,0,131,0.536,Fully Disbursed,Notification Pending,Approved,Initial Stage (<30%),Moderate,Medium,2,3,2,14.16,1,126
PCL-10764,PRJ-1049,Odisha,Angul,21.414897,84.812209,Irrigation / Water Canal,6.8,8,1.1765,0.8499,89.0,40.0,0,0,137,77,159,0.379,Fully Disbursed,Possession Taken (Sec 38),Under Scrutiny,Substantial Possession (>70%),High / Cooperative,Low,1,4,4,14.16,0,14
PCL-10765,PRJ-1137,Haryana,Faridabad,29.873745,75.800243,Highway / Expressway,63.73,75,1.1768,0.8497,55.0,87.0,0,0,45,0,273,0.253,Fully Disbursed,Possession Taken (Sec 38),Under Scrutiny,Partial Possession (30-70%),Moderate,Medium,2,3,3,24.29,0,8
PCL-10766,PRJ-1008,Rajasthan,Udaipur,24.679,71.251273,Railway & Freight Corridor,15.84,39,2.4621,0.4061,89.0,50.0,0,118,167,107,216,0.597,Partially Disbursed,Declaration Published (Sec 19),Under Scrutiny,Partial Possession (30-70%),High / Cooperative,Low,1,4,3,20.15,1,239
PCL-10767,PRJ-1110,Rajasthan,Udaipur,26.044052,72.600547,Renewable / Solar Park,83.31,100,1.2003,0.8331,90.0,50.0,0,0,42,0,222,0.311,Fully Disbursed,Declaration Published (Sec 19),Approved,Partial Possession (30-70%),Moderate,Medium,2,3,3,19.08,0,60
PCL-10768,PRJ-1050,Tamil Nadu,Kanchipuram,11.821243,78.111363,Irrigation / Water Canal,24.65,32,1.2982,0.7703,98.0,52.0,0,154,15,0,241,0.539,Pending Disbursal,Preliminary Notification (Sec 11),Approved,Substantial Possession (>70%),High / Cooperative,Low,1,4,4,20.57,1,91
PCL-10769,PRJ-1152,Madhya Pradesh,Ujjain,22.605717,77.274795,Urban Metro / Transit,56.79,167,2.9407,0.3401,74.0,21.0,0,183,140,80,111,0.26,Pending Disbursal,Possession Taken (Sec 38),Conditional Clearance,Initial Stage (<30%),Hostile / Legal Injunction,High,3,1,2,36.03,1,400
PCL-10770,PRJ-1114,Odisha,Sundargarh,21.56737,84.586428,Highway / Expressway,160.46,274,1.7076,0.5856,67.0,79.0,1,114,63,3,239,0.641,Pending Disbursal,Notification Pending,Approved,Partial Possession (30-70%),Low / Resistant,High,3,2,3,54.85,1,391
PCL-10771,PRJ-1192,Karnataka,Mysuru,13.327874,76.72727,Renewable / Solar Park,31.9,41,1.2853,0.778,91.0,67.0,0,168,15,0,30,0.2,Partially Disbursed,Notification Pending,Approved,Full Possession,Moderate,High,3,3,5,16.88,1,142
PCL-10772,PRJ-1206,Haryana,Faridabad,28.761591,77.261818,Irrigation / Water Canal,166.56,330,1.9813,0.5047,78.0,21.0,1,180,77,17,133,0.373,Disputed in Escrow,Preliminary Notification (Sec 11),Approved,Initial Stage (<30%),Low / Resistant,Very High,4,2,2,57.18,1,491
PCL-10773,PRJ-1035,Uttar Pradesh,Prayagraj,25.251356,80.266028,Irrigation / Water Canal,9.82,5,0.5092,1.9636,82.0,44.0,1,304,172,112,161,0.254,Disputed in Escrow,Possession Taken (Sec 38),Conditional Clearance,Initial Stage (<30%),Low / Resistant,High,3,2,2,60.23,1,381
PCL-10774,PRJ-1100,Rajasthan,Udaipur,25.143723,73.117403,Railway & Freight Corridor,64.05,73,1.1397,0.8774,68.0,54.0,1,479,15,0,194,0.231,Disputed in Escrow,Declaration Published (Sec 19),Approved,Substantial Possession (>70%),High / Cooperative,High,3,4,4,58.28,1,315
PCL-10775,PRJ-1168,Haryana,Panipat,28.075846,75.772855,Airport Infrastructure,66.98,159,2.3738,0.4213,65.0,44.0,0,106,123,63,100,0.489,Partially Disbursed,Preliminary Notification (Sec 11),Under Scrutiny,Substantial Possession (>70%),Moderate,Medium,2,3,4,24.46,1,196
PCL-10776,PRJ-1175,Odisha,Angul,21.825612,86.613617,Renewable / Solar Park,10.75,5,0.4651,2.1496,70.0,25.0,0,0,249,189,186,0.503,Fully Disbursed,Declaration Published (Sec 19),Pending Environmental Clearance,Partial Possession (30-70%),Moderate,High,3,3,3,24.23,1,335
PCL-10777,PRJ-1116,Tamil Nadu,Coimbatore,11.327654,77.324576,Irrigation / Water Canal,12.25,11,0.898,1.1135,69.0,31.0,1,433,15,0,180,0.374,Disputed in Escrow,Possession Taken (Sec 38),Approved,Initial Stage (<30%),Hostile / Legal Injunction,Very High,4,1,2,71.1,1,577
PCL-10778,PRJ-1144,Uttar Pradesh,Noida,27.913905,82.00519,Urban Metro / Transit,108.65,448,4.1233,0.2425,90.0,54.0,0,0,78,18,254,0.542,Fully Disbursed,Award Declared (Sec 23),Approved,Full Possession,Moderate,High,3,3,5,19.88,1,192
PCL-10779,PRJ-1254,Andhra Pradesh,Krishna,15.024108,80.175458,Highway / Expressway,36.59,30,0.8199,1.2196,69.0,84.0,1,282,187,127,392,0.582,Pending Disbursal,Notification Pending,Under Scrutiny,Contested / Encroached,Hostile / Legal Injunction,Very High,4,1,1,70.34,1,590
PCL-10780,PRJ-1051,Andhra Pradesh,Kurnool,16.582752,78.625619,Renewable / Solar Park,18.59,24,1.291,0.7746,86.0,58.0,0,0,145,85,120,0.324,Fully Disbursed,Possession Taken (Sec 38),Conditional Clearance,Full Possession,Moderate,Medium,2,3,5,15.25,0,36
PCL-10781,PRJ-1236,Haryana,Faridabad,29.426028,76.543254,Irrigation / Water Canal,21.18,45,2.1246,0.4707,37.0,64.0,1,193,127,67,201,0.396,Disputed in Escrow,Declaration Published (Sec 19),Under Scrutiny,Full Possession,Low / Resistant,High,3,2,5,64.17,1,469
PCL-10782,PRJ-1212,Karnataka,Dharwad,16.479287,76.882984,Highway / Expressway,69.1,122,1.7656,0.5664,76.0,81.0,0,217,15,0,216,0.142,Pending Disbursal,Award Declared (Sec 23),Approved,Full Possession,Moderate,Low,1,3,5,27.47,1,91
PCL-10783,PRJ-1135,Gujarat,Bharuch,23.278972,69.756605,Renewable / Solar Park,17.64,20,1.1338,0.882,77.0,78.0,0,74,138,78,222,0.323,Partially Disbursed,Possession Taken (Sec 38),Pending Environmental Clearance,Full Possession,Low / Resistant,High,3,2,5,25.67,1,229
PCL-10784,PRJ-1117,Tamil Nadu,Kanchipuram,10.626216,77.998089,Highway / Expressway,6.8,18,2.6471,0.3778,73.0,52.0,0,127,15,0,189,0.539,Partially Disbursed,Declaration Published (Sec 19),Approved,Partial Possession (30-70%),High / Cooperative,Low,1,4,3,22.51,1,122
PCL-10785,PRJ-1186,Gujarat,Surat,23.238835,73.270957,Airport Infrastructure,11.53,11,0.954,1.0481,26.0,72.0,0,173,130,70,374,0.499,Partially Disbursed,Award Declared (Sec 23),Conditional Clearance,Substantial Possession (>70%),Low / Resistant,Low,1,2,4,46.23,1,393
PCL-10786,PRJ-1102,Odisha,Cuttack,19.792746,85.971497,Highway / Expressway,20.75,47,2.2651,0.4415,32.0,94.0,1,271,15,0,324,0.435,Pending Disbursal,Possession Taken (Sec 38),Approved,Partial Possession (30-70%),Hostile / Legal Injunction,Medium,2,1,3,73.74,1,439
PCL-10787,PRJ-1151,Karnataka,Bengaluru Rural,15.555758,77.656385,Renewable / Solar Park,9.16,6,0.655,1.5264,50.0,72.0,0,0,15,0,113,0.409,Fully Disbursed,Award Declared (Sec 23),Approved,Full Possession,Moderate,Low,1,3,5,20.79,0,27
PCL-10788,PRJ-1116,Tamil Nadu,Coimbatore,11.04721,79.565729,Irrigation / Water Canal,23.26,20,0.8598,1.1629,67.0,84.0,0,142,116,56,356,0.226,Partially Disbursed,Possession Taken (Sec 38),Under Scrutiny,Contested / Encroached,Low / Resistant,Low,1,2,1,34.89,1,283
PCL-10789,PRJ-1096,Karnataka,Mysuru,16.704733,76.408866,Renewable / Solar Park,54.82,89,1.6235,0.6159,91.0,60.0,1,366,50,0,271,0.685,Disputed in Escrow,Award Declared (Sec 23),Approved,Partial Possession (30-70%),Hostile / Legal Injunction,High,3,1,3,67.21,1,588
PCL-10790,PRJ-1183,Rajasthan,Udaipur,24.388978,75.139874,Airport Infrastructure,25.57,66,2.5811,0.3874,81.0,35.0,1,139,168,108,274,0.41,Pending Disbursal,Notification Pending,Conditional Clearance,Initial Stage (<30%),Low / Resistant,High,3,2,2,58.79,1,414
PCL-10791,PRJ-1117,Tamil Nadu,Kanchipuram,11.998361,79.27445,Highway / Expressway,55.07,91,1.6524,0.6052,65.0,59.0,1,117,169,109,138,0.384,Pending Disbursal,Possession Taken (Sec 38),Under Scrutiny,Initial Stage (<30%),Hostile / Legal Injunction,Medium,2,1,2,57.33,1,312
PCL-10792,PRJ-1088,Uttar Pradesh,Prayagraj,25.125192,80.471729,Airport Infrastructure,17.21,56,3.2539,0.3073,53.0,83.0,1,120,198,138,30,0.346,Partially Disbursed,Preliminary Notification (Sec 11),Resubmission Required,Partial Possession (30-70%),Low / Resistant,High,3,2,3,49.66,1,331
PCL-10793,PRJ-1015,Rajasthan,Alwar,27.189894,73.945778,Renewable / Solar Park,11.46,9,0.7853,1.2732,49.0,67.0,1,365,15,0,136,0.548,Pending Disbursal,Award Declared (Sec 23),Approved,Initial Stage (<30%),Hostile / Legal Injunction,High,3,1,2,69.85,1,545
PCL-10794,PRJ-1074,Gujarat,Kutch,23.272271,73.362786,Irrigation / Water Canal,20.14,25,1.2413,0.8056,66.0,88.0,1,480,220,160,84,0.714,Disputed in Escrow,Preliminary Notification (Sec 11),Conditional Clearance,Substantial Possession (>70%),Hostile / Legal Injunction,High,3,1,4,62.4,1,571
PCL-10795,PRJ-1083,Tamil Nadu,Madurai,12.040692,77.821279,Renewable / Solar Park,43.07,60,1.3931,0.7178,76.0,61.0,1,343,92,32,151,0.469,Pending Disbursal,Preliminary Notification (Sec 11),Approved,Substantial Possession (>70%),Moderate,High,3,3,4,57.21,1,380
PCL-10796,PRJ-1199,Karnataka,Belagavi,16.494078,75.77013,Renewable / Solar Park,18.98,33,1.7387,0.5751,70.0,66.0,1,140,169,109,246,0.747,Partially Disbursed,Award Declared (Sec 23),Under Scrutiny,Substantial Possession (>70%),Moderate,High,3,3,4,53.13,1,407
PCL-10797,PRJ-1117,Tamil Nadu,Kanchipuram,10.744082,79.056398,Highway / Expressway,20.28,12,0.5917,1.6899,92.0,50.0,0,121,122,62,201,0.412,Pending Disbursal,Notification Pending,Approved,Substantial Possession (>70%),High / Cooperative,Medium,2,4,4,19.11,1,183
PCL-10798,PRJ-1007,Gujarat,Ahmedabad,21.063517,70.742915,Irrigation / Water Canal,51.0,47,0.9216,1.0851,49.0,38.0,1,276,160,100,201,0.648,Disputed in Escrow,Notification Pending,Under Scrutiny,Initial Stage (<30%),Low / Resistant,High,3,2,2,67.78,1,535
PCL-10799,PRJ-1050,Tamil Nadu,Kanchipuram,12.51513,79.879105,Irrigation / Water Canal,44.7,54,1.2081,0.8278,44.0,87.0,0,180,90,30,187,0.351,Pending Disbursal,Notification Pending,Approved,Partial Possession (30-70%),Hostile / Legal Injunction,Medium,2,1,3,38.16,1,304
PCL-10800,PRJ-1020,Madhya Pradesh,Indore,26.165289,80.734695,Renewable / Solar Park,164.41,277,1.6848,0.5935,76.0,90.0,0,0,157,97,245,0.168,Fully Disbursed,Declaration Published (Sec 19),Under Scrutiny,Full Possession,Low / Resistant,Medium,2,2,5,22.49,1,231
PCL-10801,PRJ-1080,Karnataka,Belagavi,17.436975,77.493997,Airport Infrastructure,81.41,346,4.2501,0.2353,82.0,46.0,1,149,50,0,250,0.536,Pending Disbursal,Notification Pending,Approved,Partial Possession (30-70%),Low / Resistant,Very High,4,2,3,57.0,1,476
PCL-10802,PRJ-1252,Maharashtra,Solapur,18.596187,75.637422,Renewable / Solar Park,19.84,13,0.6552,1.526,79.0,62.0,1,542,83,23,157,0.584,Disputed in Escrow,Notification Pending,Approved,Initial Stage (<30%),Hostile / Legal Injunction,High,3,1,2,65.14,1,557
PCL-10803,PRJ-1202,Andhra Pradesh,Guntur,17.380463,81.201673,Renewable / Solar Park,16.66,8,0.4802,2.0822,52.0,39.0,0,133,40,0,154,0.265,Partially Disbursed,Possession Taken (Sec 38),Approved,Substantial Possession (>70%),Moderate,Low,1,3,4,30.69,1,258
PCL-10804,PRJ-1248,Karnataka,Kalaburagi,15.53735,75.528872,Irrigation / Water Canal,56.88,121,2.1273,0.4701,84.0,75.0,1,111,118,58,104,0.409,Pending Disbursal,Declaration Published (Sec 19),Pending Environmental Clearance,Partial Possession (30-70%),Low / Resistant,High,3,2,3,46.66,1,433
PCL-10805,PRJ-1089,Andhra Pradesh,Krishna,16.870103,81.67236,Highway / Expressway,49.56,68,1.3721,0.7288,57.0,57.0,0,116,150,90,190,0.361,Pending Disbursal,Possession Taken (Sec 38),Conditional Clearance,Substantial Possession (>70%),High / Cooperative,Low,1,4,4,24.79,1,92
PCL-10806,PRJ-1190,Madhya Pradesh,Jabalpur,25.046987,75.336213,Highway / Expressway,15.88,3,0.1889,5.2916,52.0,60.0,0,0,170,110,219,0.486,Fully Disbursed,Declaration Published (Sec 19),Under Scrutiny,Substantial Possession (>70%),High / Cooperative,Medium,2,4,4,21.81,0,27
PCL-10807,PRJ-1024,Karnataka,Kalaburagi,17.068223,75.209295,Railway & Freight Corridor,123.88,160,1.2916,0.7742,87.0,79.0,1,605,85,25,148,0.311,Disputed in Escrow,Award Declared (Sec 23),Resubmission Required,Contested / Encroached,High / Cooperative,Very High,4,4,1,50.25,1,294
PCL-10808,PRJ-1206,Haryana,Faridabad,28.157416,75.819172,Irrigation / Water Canal,7.18,5,0.6964,1.4357,28.0,5.0,1,248,147,87,313,0.595,Pending Disbursal,Declaration Published (Sec 19),Pending Environmental Clearance,Initial Stage (<30%),Hostile / Legal Injunction,Medium,2,1,2,82.08,1,614
PCL-10809,PRJ-1006,Madhya Pradesh,Bhopal,23.879904,77.697295,Industrial Corridor / SEZ,15.55,17,1.0932,0.9147,68.0,70.0,1,292,167,107,253,0.344,Pending Disbursal,Preliminary Notification (Sec 11),Under Scrutiny,Partial Possession (30-70%),Hostile / Legal Injunction,High,3,1,3,67.14,1,476
PCL-10810,PRJ-1059,Madhya Pradesh,Jabalpur,22.557225,80.82419,Highway / Expressway,75.44,92,1.2195,0.82,81.0,72.0,0,0,20,0,339,0.41,Fully Disbursed,Possession Taken (Sec 38),Approved,Full Possession,High / Cooperative,Low,1,4,5,19.31,0,8
PCL-10811,PRJ-1062,Rajasthan,Jaipur,25.787587,76.275038,Irrigation / Water Canal,7.45,24,3.2215,0.3104,49.0,71.0,0,39,147,87,383,0.479,Partially Disbursed,Possession Taken (Sec 38),Under Scrutiny,Full Possession,Moderate,Low,1,3,5,32.82,1,108
PCL-10812,PRJ-1199,Karnataka,Belagavi,13.453944,76.990133,Renewable / Solar Park,21.84,38,1.7399,0.5747,87.0,26.0,0,0,199,139,193,0.507,Fully Disbursed,Notification Pending,Conditional Clearance,Partial Possession (30-70%),Moderate,Low,1,3,3,20.99,0,67
PCL-10813,PRJ-1097,Tamil Nadu,Tiruchirappalli,12.163067,79.297221,Highway / Expressway,39.32,20,0.5086,1.9659,73.0,32.0,0,0,77,17,245,0.499,Fully Disbursed,Declaration Published (Sec 19),Approved,Full Possession,High / Cooperative,Low,1,4,5,21.39,0,34
PCL-10814,PRJ-1079,Haryana,Hisar,30.322371,76.51063,Irrigation / Water Canal,17.01,13,0.7643,1.3084,93.0,78.0,0,0,82,22,178,0.199,Fully Disbursed,Possession Taken (Sec 38),Approved,Full Possession,High / Cooperative,Medium,2,4,5,10.27,0,14
PCL-10815,PRJ-1074,Gujarat,Kutch,22.636658,70.447236,Irrigation / Water Canal,41.37,34,0.8219,1.2167,44.0,48.0,1,550,59,0,80,0.57,Disputed in Escrow,Award Declared (Sec 23),Approved,Substantial Possession (>70%),Low / Resistant,Low,1,2,4,66.9,1,510
PCL-10816,PRJ-1196,Madhya Pradesh,Gwalior,22.065052,75.423872,Airport Infrastructure,98.28,258,2.6252,0.3809,64.0,49.0,1,0,36,0,229,0.174,Fully Disbursed,Notification Pending,Approved,Initial Stage (<30%),Hostile / Legal Injunction,High,3,1,2,57.14,1,485
PCL-10817,PRJ-1198,Maharashtra,Thane,18.869159,76.992714,Renewable / Solar Park,47.3,44,0.9302,1.075,36.0,86.0,1,322,201,141,106,0.422,Pending Disbursal,Possession Taken (Sec 38),Pending Environmental Clearance,Substantial Possession (>70%),Low / Resistant,Medium,2,2,4,63.91,1,437
PCL-10818,PRJ-1074,Gujarat,Kutch,21.881904,72.266306,Irrigation / Water Canal,90.65,178,1.9636,0.5093,79.0,55.0,1,401,55,0,255,0.409,Disputed in Escrow,Award Declared (Sec 23),Approved,Initial Stage (<30%),Moderate,High,3,3,2,62.01,1,406
PCL-10819,PRJ-1117,Tamil Nadu,Kanchipuram,12.907464,77.437575,Highway / Expressway,43.49,60,1.3796,0.7248,85.0,23.0,0,145,179,119,378,0.55,Partially Disbursed,Possession Taken (Sec 38),Resubmission Required,Substantial Possession (>70%),High / Cooperative,Low,1,4,4,30.83,1,193
PCL-10820,PRJ-1069,Andhra Pradesh,Krishna,17.232554,79.058984,Industrial Corridor / SEZ,12.76,5,0.3918,2.5515,43.0,38.0,0,123,143,83,199,0.396,Partially Disbursed,Possession Taken (Sec 38),Under Scrutiny,Partial Possession (30-70%),Moderate,Low,1,3,3,33.87,1,267
PCL-10821,PRJ-1158,Haryana,Karnal,28.562433,75.81853,Urban Metro / Transit,33.44,61,1.8242,0.5482,67.0,76.0,0,135,92,32,147,0.447,Partially Disbursed,Preliminary Notification (Sec 11),Approved,Full Possession,High / Cooperative,Medium,2,4,5,20.06,0,10
PCL-10822,PRJ-1197,Gujarat,Bharuch,23.767654,70.949849,Airport Infrastructure,57.22,231,4.037,0.2477,69.0,55.0,0,0,183,123,277,0.153,Fully Disbursed,Notification Pending,Conditional Clearance,Substantial Possession (>70%),High / Cooperative,Low,1,4,4,21.09,0,8
PCL-10823,PRJ-1102,Odisha,Cuttack,19.941776,84.904525,Highway / Expressway,54.96,48,0.8734,1.145,69.0,68.0,0,165,158,98,227,0.519,Partially Disbursed,Preliminary Notification (Sec 11),Under Scrutiny,Partial Possession (30-70%),Moderate,Medium,2,3,3,28.44,1,221
PCL-10824,PRJ-1028,Gujarat,Ahmedabad,22.011375,69.445767,Irrigation / Water Canal,43.13,91,2.1099,0.474,91.0,62.0,0,0,38,0,178,0.298,Fully Disbursed,Preliminary Notification (Sec 11),Approved,Initial Stage (<30%),Moderate,Medium,2,3,2,16.02,0,20
PCL-10825,PRJ-1229,Odisha,Angul,20.785227,85.949729,Highway / Expressway,69.25,71,1.0253,0.9753,60.0,69.0,0,0,30,0,224,0.367,Fully Disbursed,Possession Taken (Sec 38),Approved,Initial Stage (<30%),Moderate,Low,1,3,2,23.25,1,181
PCL-10826,PRJ-1241,Madhya Pradesh,Gwalior,25.129396,76.849902,Railway & Freight Corridor,43.94,82,1.8662,0.5358,98.0,73.0,0,139,15,0,205,0.52,Pending Disbursal,Preliminary Notification (Sec 11),Approved,Substantial Possession (>70%),High / Cooperative,Low,1,4,4,16.5,0,30
PCL-10827,PRJ-1011,Gujarat,Surat,22.749909,73.396201,Urban Metro / Transit,22.17,53,2.3906,0.4183,36.0,87.0,1,0,74,14,294,0.7,Fully Disbursed,Possession Taken (Sec 38),Pending Environmental Clearance,Initial Stage (<30%),Low / Resistant,Medium,2,2,2,57.63,1,423
PCL-10828,PRJ-1190,Madhya Pradesh,Jabalpur,22.353116,75.913638,Highway / Expressway,14.75,14,0.9492,1.0535,48.0,61.0,0,80,142,82,208,0.41,Partially Disbursed,Award Declared (Sec 23),Approved,Partial Possession (30-70%),High / Cooperative,Medium,2,4,3,25.39,0,24
PCL-10829,PRJ-1182,Karnataka,Kalaburagi,15.503782,77.107817,Railway & Freight Corridor,37.82,27,0.7139,1.4007,79.0,59.0,1,278,44,0,145,0.22,Disputed in Escrow,Notification Pending,Approved,Initial Stage (<30%),Moderate,High,3,3,2,53.91,1,353
PCL-10830,PRJ-1086,Haryana,Hisar,28.174827,76.003727,Urban Metro / Transit,28.52,59,2.0687,0.4834,60.0,44.0,1,568,184,124,242,0.327,Disputed in Escrow,Possession Taken (Sec 38),Under Scrutiny,Partial Possession (30-70%),High / Cooperative,Medium,2,4,3,62.68,1,394
PCL-10831,PRJ-1006,Madhya Pradesh,Bhopal,25.282422,75.172958,Industrial Corridor / SEZ,15.8,15,0.9494,1.0533,82.0,66.0,1,536,57,0,230,0.623,Disputed in Escrow,Possession Taken (Sec 38),Approved,Contested / Encroached,Moderate,High,3,3,1,59.38,1,396
PCL-10832,PRJ-1209,Haryana,Panipat,29.747473,75.801446,Irrigation / Water Canal,68.75,79,1.1491,0.8702,85.0,35.0,0,0,92,32,219,0.571,Fully Disbursed,Possession Taken (Sec 38),Pending Environmental Clearance,Full Possession,High / Cooperative,Low,1,4,5,17.71,0,58
PCL-10833,PRJ-1164,Haryana,Karnal,30.11755,77.252056,Urban Metro / Transit,23.77,29,1.22,0.8196,63.0,52.0,0,0,52,0,112,0.685,Fully Disbursed,Preliminary Notification (Sec 11),Approved,Partial Possession (30-70%),Moderate,Low,1,3,3,20.15,0,31
PCL-10834,PRJ-1039,Madhya Pradesh,Indore,22.092439,75.136062,Renewable / Solar Park,61.2,106,1.732,0.5774,79.0,37.0,1,325,128,68,70,0.514,Pending Disbursal,Award Declared (Sec 23),Conditional Clearance,Substantial Possession (>70%),Low / Resistant,High,3,2,4,58.98,1,378
PCL-10835,PRJ-1103,Madhya Pradesh,Bhopal,26.08921,80.979996,Irrigation / Water Canal,23.2,20,0.8621,1.1599,83.0,75.0,0,83,125,65,190,0.333,Partially Disbursed,Preliminary Notification (Sec 11),Conditional Clearance,Substantial Possession (>70%),High / Cooperative,Medium,2,4,4,16.44,0,11
