project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,approval_status,rehabilitation_status,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,is_delayed,delay_duration_days
Mining,Odisha,Sundargarh,113.5,159,0.48,0.89,1,0.39,0.29,0.95,0.15,0.86,96,0.6,0,0
Highways,Karnataka,Dakshina Kannada,24.77,47,0.18,0.39,1,0.97,0.56,0.69,0.91,0.52,144,0.25,0,0
Water Resources,Gujarat,Surat,55.02,65,0.63,0.91,1,0.18,0.47,0.22,0.72,0.3,148,0.57,1,415
Urban Infrastructure,Karnataka,Ballari,30.23,42,0.24,0.91,0,0.63,0.31,0.83,0.85,0.43,76,0.26,1,123
Highways,Bihar,Patna,26.65,23,0.17,0.54,1,0.81,0.36,0.94,0.37,0.37,125,0.35,1,243
Mining,Rajasthan,Udaipur,38.64,78,0.66,0.27,0,0.83,0.48,0.34,0.49,0.72,123,0.27,0,0
Railways,Rajasthan,Jaipur,33.83,42,0.88,0.77,1,0.28,0.41,0.23,0.89,0.88,168,0.28,1,228
Solar Parks,Gujarat,Vadodara,26.75,16,0.49,0.46,0,0.46,0.44,0.39,0.46,0.75,216,0.42,0,0
Railways,Bihar,Bhagalpur,31.68,71,0.13,0.82,0,0.66,0.76,0.85,0.65,0.83,162,0.47,0,0
Urban Infrastructure,Gujarat,Surat,46.6,69,0.85,0.33,0,0.38,0.25,0.26,0.68,0.8,212,0.57,1,207
Industrial Corridors,Uttar Pradesh,Gorakhpur,49.32,80,0.16,0.62,0,0.69,0.66,0.8,0.8,0.21,149,0.39,0,0
Solar Parks,Rajasthan,Kota,34.28,36,0.84,0.6,0,0.44,0.71,0.74,0.93,0.29,176,0.18,0,0
Railways,Odisha,Jharsuguda,54.42,82,0.43,0.28,0,0.42,0.82,0.69,0.35,0.52,163,0.64,1,206
Water Resources,West Bengal,Murshidabad,23.59,26,0.41,0.48,0,0.2,0.86,0.49,0.27,0.28,268,0.46,1,209
Solar Parks,Madhya Pradesh,Bhopal,196.35,296,0.56,0.27,0,0.14,0.24,0.43,0.12,0.75,153,0.27,1,333
Industrial Corridors,Bihar,Bhagalpur,108.69,50,0.91,0.56,1,0.85,0.22,0.18,0.82,0.25,195,0.63,1,278
Highways,Maharashtra,Aurangabad,60.94,80,0.86,0.86,0,0.54,0.65,0.42,0.31,0.51,169,0.63,1,196
Mining,Gujarat,Rajkot,7.01,26,0.5,0.41,0,0.61,0.78,0.64,0.09,0.49,210,0.1,0,0
Railways,Madhya Pradesh,Gwalior,53.78,76,0.69,0.8,1,0.43,0.35,0.91,0.83,0.61,188,0.06,1,203
Urban Infrastructure,Maharashtra,Nagpur,25.3,50,0.59,0.34,0,0.22,0.57,0.85,0.51,0.67,175,0.08,1,178
Highways,Madhya Pradesh,Jabalpur,15.14,33,0.69,0.73,0,0.5,0.8,0.13,0.8,0.91,108,0.46,0,0
Railways,West Bengal,Murshidabad,24.79,30,0.8,0.91,0,0.31,0.79,0.22,0.55,0.4,112,0.48,0,0
Highways,Maharashtra,Nagpur,16.54,32,0.13,0.45,0,0.85,0.69,0.86,0.33,0.7,132,0.48,0,0
Urban Infrastructure,Karnataka,Ballari,49.67,80,0.38,0.9,1,0.99,0.17,0.95,0.17,0.23,146,0.43,1,235
Railways,Tamil Nadu,Coimbatore,120.64,235,0.92,0.59,1,0.9,0.15,0.15,0.44,0.2,165,0.22,1,309
Industrial Corridors,Karnataka,Belagavi,64.12,115,0.91,0.45,1,0.58,0.45,0.73,0.07,0.22,132,0.15,1,302
Industrial Corridors,Rajasthan,Bhilwara,301.88,340,0.11,0.9,1,0.67,0.12,0.43,0.59,0.54,71,0.61,1,207
Urban Infrastructure,Tamil Nadu,Madurai,9.56,26,0.27,0.22,0,0.95,0.91,0.43,0.43,0.62,206,0.6,1,164
Solar Parks,Karnataka,Bengaluru Urban,22.09,36,0.94,0.22,0,0.58,0.12,0.68,0.18,0.2,180,0.2,1,229
Urban Infrastructure,Tamil Nadu,Tiruchirappalli,15.57,22,0.52,0.67,1,0.67,0.13,0.83,0.53,0.5,162,0.15,1,244
Solar Parks,Tamil Nadu,Madurai,88.54,67,0.59,0.82,1,0.67,0.25,0.35,0.77,0.23,216,0.28,1,312
Railways,Odisha,Cuttack,27.76,14,0.24,0.79,1,0.74,0.66,0.73,0.93,0.69,123,0.08,1,167
Solar Parks,Gujarat,Kutch,38.54,83,0.86,0.26,0,0.68,0.59,0.67,0.52,0.67,154,0.15,0,0
Railways,Gujarat,Kutch,54.98,64,0.3,0.94,0,0.7,0.69,0.57,0.17,0.79,167,0.28,0,0
Railways,Odisha,Sundargarh,10.34,27,0.26,0.75,1,0.75,0.9,0.64,0.78,0.61,141,0.19,1,265
Water Resources,Madhya Pradesh,Gwalior,20.14,37,0.29,0.94,0,0.83,0.51,0.12,0.68,0.67,124,0.49,0,0
Mining,Uttar Pradesh,Lucknow,73.54,96,0.88,0.46,1,0.46,0.14,0.1,0.91,0.41,199,0.59,1,284
Railways,Madhya Pradesh,Jabalpur,21.36,38,0.7,0.74,0,0.77,0.79,0.6,0.53,0.26,172,0.6,1,171
Solar Parks,Maharashtra,Nagpur,8.41,25,0.75,0.87,1,0.19,0.83,0.57,0.37,0.75,188,0.41,1,239
Mining,Maharashtra,Nashik,16.09,28,0.42,0.5,0,0.89,0.14,0.16,0.92,0.66,122,0.47,0,0
Mining,Tamil Nadu,Kanchipuram,26.34,41,0.87,0.95,0,0.36,0.32,0.54,0.53,0.9,197,0.35,1,198
Railways,Karnataka,Bengaluru Urban,37.84,41,0.77,0.41,0,0.46,0.79,0.78,0.06,0.94,131,0.14,1,198
Urban Infrastructure,Karnataka,Dakshina Kannada,31.29,36,0.74,0.45,1,0.82,0.44,0.59,0.48,0.84,171,0.43,1,276
Urban Infrastructure,Gujarat,Ahmedabad,20.26,39,0.93,0.92,1,0.67,0.53,0.57,0.05,0.94,249,0.26,0,0
Industrial Corridors,Bihar,Muzaffarpur,70.21,127,0.41,0.96,0,0.38,0.84,0.75,0.71,0.69,198,0.05,0,0
Mining,Madhya Pradesh,Gwalior,29.87,31,0.62,0.42,1,0.3,0.19,0.25,0.56,0.27,175,0.39,0,0
Railways,Rajasthan,Kota,39.15,54,0.87,0.31,0,0.96,0.71,0.51,0.15,0.27,220,0.17,1,191
Water Resources,West Bengal,Murshidabad,21.14,57,0.77,0.79,1,0.18,0.29,0.23,0.78,0.81,134,0.58,1,301
Urban Infrastructure,Karnataka,Belagavi,110.74,199,0.58,0.93,0,0.1,0.16,0.57,0.53,0.38,182,0.61,1,215
Water Resources,West Bengal,Howrah,24.21,42,0.16,0.67,0,0.71,0.7,0.63,0.15,0.25,122,0.15,0,0
Railways,Tamil Nadu,Kanchipuram,35.15,58,0.65,0.69,0,0.65,0.21,0.21,0.19,0.55,143,0.07,1,187
Railways,West Bengal,Howrah,75.79,66,0.55,0.8,0,0.76,0.77,0.17,0.79,0.44,231,0.05,0,0
Mining,Rajasthan,Jodhpur,41.43,74,0.26,0.32,0,0.76,0.28,0.25,0.37,0.64,172,0.6,1,190
Water Resources,Odisha,Jharsuguda,40.61,63,0.85,0.96,0,0.88,0.14,0.63,0.79,0.65,223,0.14,1,166
Industrial Corridors,Rajasthan,Jodhpur,6.83,34,0.39,0.48,0,0.93,0.19,0.27,0.11,0.71,155,0.31,0,0
Mining,West Bengal,Murshidabad,57.08,29,0.43,0.69,1,0.8,0.86,0.35,0.27,0.63,214,0.08,1,215
Highways,Rajasthan,Kota,34.62,44,0.67,0.57,0,0.31,0.43,0.73,0.74,0.49,162,0.27,1,173
Water Resources,Uttar Pradesh,Gorakhpur,51.07,60,0.52,0.57,1,0.52,0.37,0.32,0.63,0.22,166,0.52,1,285
Urban Infrastructure,Tamil Nadu,Salem,38.34,64,0.18,0.75,0,0.68,0.54,0.46,0.33,0.88,161,0.29,1,174
Urban Infrastructure,Madhya Pradesh,Ujjain,21.17,24,0.43,0.98,1,0.59,0.67,0.94,0.89,0.45,176,0.52,0,0
Urban Infrastructure,Odisha,Bhubaneswar,67.72,110,0.18,0.71,0,0.24,0.13,0.84,0.24,0.58,148,0.46,0,0
Solar Parks,Karnataka,Mysuru,38.8,78,0.26,0.82,0,0.63,0.91,0.33,0.81,0.62,97,0.36,0,0
Railways,Maharashtra,Thane,11.8,15,0.11,0.22,0,0.9,0.96,0.64,0.68,0.44,158,0.49,0,0
Mining,Madhya Pradesh,Indore,94.33,69,0.25,0.83,0,0.48,0.48,0.7,0.16,0.43,165,0.58,1,169
Urban Infrastructure,Maharashtra,Nagpur,10.54,34,0.38,0.43,1,0.7,0.47,0.91,0.55,0.4,233,0.53,0,0
Highways,Tamil Nadu,Kanchipuram,68.08,68,0.56,0.3,0,0.65,0.89,0.59,0.89,0.38,58,0.47,1,170
Urban Infrastructure,Odisha,Sundargarh,108.8,66,0.88,0.29,0,0.44,0.49,0.61,0.61,0.22,232,0.47,0,0
Industrial Corridors,Gujarat,Surat,13.67,28,0.56,0.73,0,0.61,0.87,0.9,0.53,0.92,207,0.15,0,0
Railways,Karnataka,Dakshina Kannada,30.02,49,0.7,0.98,0,0.29,0.13,0.15,0.38,0.65,190,0.62,0,0
Water Resources,Uttar Pradesh,Agra,27.86,31,0.4,0.72,0,0.59,0.54,0.67,0.76,0.28,166,0.17,0,0
Railways,Gujarat,Rajkot,28.88,60,0.74,0.4,1,0.82,0.96,0.47,0.87,0.64,114,0.26,1,199
Water Resources,Tamil Nadu,Coimbatore,143.19,134,0.63,0.36,0,0.78,0.33,0.92,0.73,0.37,247,0.36,1,311
Water Resources,Madhya Pradesh,Jabalpur,13.79,23,0.49,0.61,1,0.42,0.34,0.96,0.7,0.43,215,0.13,0,0
Mining,Uttar Pradesh,Kanpur,25.91,31,0.26,0.25,0,0.2,0.67,0.25,0.22,0.8,171,0.41,0,0
Solar Parks,Rajasthan,Jaipur,110.24,219,0.36,0.51,0,0.82,0.93,0.35,0.8,0.86,172,0.16,0,0
Water Resources,West Bengal,North 24 Parganas,25.58,43,0.63,0.72,1,0.34,0.28,0.35,0.09,0.72,155,0.6,1,266
Water Resources,Uttar Pradesh,Gorakhpur,15.66,20,0.46,0.95,0,0.15,0.93,0.19,0.73,0.9,186,0.58,0,0
Mining,Tamil Nadu,Coimbatore,40.87,52,0.86,0.53,1,0.5,0.7,0.53,0.24,0.88,158,0.38,0,0
Urban Infrastructure,Bihar,Patna,63.09,101,0.3,0.36,1,0.77,0.99,0.56,0.49,0.61,173,0.32,1,208
Industrial Corridors,West Bengal,North 24 Parganas,24.18,49,0.16,0.84,0,0.83,0.76,0.62,0.68,0.88,179,0.11,0,0
Highways,Maharashtra,Nagpur,51.6,44,0.6,0.78,0,0.98,0.7,0.7,0.73,0.61,269,0.54,0,0
Mining,Karnataka,Dakshina Kannada,11.01,22,0.85,0.87,1,0.27,0.83,0.16,0.85,0.28,119,0.28,1,227
Solar Parks,Maharashtra,Pune,11.51,33,0.41,0.37,0,0.36,0.26,0.66,0.3,0.82,167,0.2,1,176
Mining,Uttar Pradesh,Gorakhpur,23.29,39,0.65,0.52,0,0.65,0.95,0.92,0.25,0.3,215,0.65,0,0
Railways,Maharashtra,Thane,53.09,42,0.3,0.97,1,0.83,0.25,0.51,0.95,0.44,197,0.45,1,212
Urban Infrastructure,Tamil Nadu,Tiruchirappalli,60.9,47,0.57,0.32,0,0.31,0.12,0.2,0.24,0.48,190,0.09,1,229
Urban Infrastructure,Rajasthan,Udaipur,12.86,32,0.77,0.72,1,0.47,0.73,0.18,0.65,0.81,295,0.53,1,278
Water Resources,Madhya Pradesh,Jabalpur,59.12,91,0.84,0.39,0,0.47,0.27,0.35,0.91,0.26,208,0.5,1,241
Urban Infrastructure,Karnataka,Dakshina Kannada,37.83,57,0.19,0.59,1,0.8,0.78,0.78,0.86,0.53,131,0.29,0,0
Urban Infrastructure,Maharashtra,Nashik,16.39,12,0.4,0.82,0,0.32,0.82,0.33,0.45,0.53,126,0.12,0,0
Urban Infrastructure,Maharashtra,Thane,11.39,16,0.64,0.58,1,0.97,0.31,0.83,0.62,0.64,158,0.35,0,0
Urban Infrastructure,Uttar Pradesh,Varanasi,39.8,52,0.13,0.83,1,0.56,0.18,0.84,0.53,0.47,140,0.51,1,282
Highways,Madhya Pradesh,Jabalpur,92.91,62,0.69,0.53,0,0.35,0.55,0.51,0.36,0.63,163,0.1,1,207
Solar Parks,Gujarat,Vadodara,34.07,29,0.55,0.98,1,0.36,0.9,0.37,0.18,0.94,175,0.15,1,210
Water Resources,Maharashtra,Aurangabad,15.67,43,0.35,0.54,1,0.12,0.86,0.64,0.77,0.25,172,0.42,1,249
Urban Infrastructure,Tamil Nadu,Salem,7.43,19,0.79,0.32,0,0.72,0.21,0.83,0.13,0.86,49,0.39,0,0
Water Resources,Bihar,Gaya,112.57,216,0.35,0.51,0,0.8,0.97,0.16,0.6,0.43,125,0.59,1,166
Solar Parks,Karnataka,Dakshina Kannada,76.21,126,0.94,0.78,1,0.13,0.34,0.96,0.58,0.55,192,0.54,1,252
Industrial Corridors,Maharashtra,Aurangabad,42.17,30,0.79,0.86,0,0.63,0.41,0.68,0.35,0.76,233,0.6,1,209
Urban Infrastructure,Tamil Nadu,Salem,108.03,130,0.7,0.56,1,0.8,0.23,0.46,0.17,0.88,141,0.33,1,258
Water Resources,Tamil Nadu,Coimbatore,39.61,48,0.15,0.66,0,0.44,0.44,0.56,0.77,0.21,142,0.52,0,0
Mining,Karnataka,Ballari,21.65,37,0.87,0.86,1,0.49,0.67,0.45,0.47,0.7,155,0.08,0,0
Water Resources,Gujarat,Surat,51.63,115,0.77,0.83,0,0.43,0.56,0.47,0.7,0.25,237,0.23,1,200
Urban Infrastructure,Tamil Nadu,Salem,17.05,37,0.29,0.71,0,0.38,0.84,0.64,0.06,0.59,162,0.44,0,0
Railways,Bihar,Darbhanga,14.93,10,0.43,0.84,1,0.54,0.68,0.15,0.12,0.76,59,0.51,1,232
Highways,Tamil Nadu,Tiruchirappalli,61.39,61,0.33,0.65,0,0.25,0.34,0.26,0.21,0.33,240,0.39,0,0
Mining,Tamil Nadu,Kanchipuram,65.67,30,0.94,0.2,0,0.5,0.6,0.3,0.15,0.77,191,0.34,0,0
Mining,Tamil Nadu,Madurai,11.95,25,0.83,0.23,0,0.95,0.16,0.47,0.22,0.43,101,0.19,1,217
Railways,Rajasthan,Kota,12.31,34,0.89,0.96,0,0.12,0.62,0.43,0.67,0.66,136,0.15,0,0
Urban Infrastructure,Rajasthan,Jaipur,23.2,49,0.77,0.31,0,0.25,0.45,0.75,0.09,0.69,124,0.58,1,257
Highways,Gujarat,Vadodara,18.75,52,0.49,0.52,0,0.8,0.19,0.33,0.08,0.69,150,0.14,1,199
Mining,Maharashtra,Thane,48.48,40,0.27,0.93,0,0.22,0.38,0.15,0.08,0.21,226,0.31,1,343
Highways,Tamil Nadu,Coimbatore,34.41,47,0.28,0.35,0,0.34,0.91,0.15,0.68,0.31,75,0.58,1,189
Mining,Madhya Pradesh,Jabalpur,84.09,141,0.23,0.86,0,0.51,0.63,0.11,0.53,0.84,144,0.14,0,0
Urban Infrastructure,Maharashtra,Aurangabad,42.68,60,0.56,0.84,0,0.95,0.91,0.13,0.38,0.9,165,0.13,0,0
Industrial Corridors,Gujarat,Ahmedabad,19.77,32,0.88,0.97,0,0.27,0.47,0.87,0.66,0.62,156,0.47,0,0
Mining,Odisha,Bhubaneswar,7.29,14,0.94,0.42,0,0.93,0.98,0.73,0.55,0.65,124,0.25,0,0
Industrial Corridors,Maharashtra,Nashik,38.23,33,0.34,0.45,0,0.75,0.42,1.0,0.06,0.77,213,0.31,0,0
Mining,Maharashtra,Aurangabad,8.43,36,0.69,0.9,1,0.7,0.78,0.12,0.8,0.5,152,0.43,1,210
Solar Parks,West Bengal,Hooghly,19.58,58,0.61,0.38,0,0.75,0.37,0.86,0.37,0.45,147,0.28,1,183
Urban Infrastructure,Uttar Pradesh,Varanasi,18.59,38,0.52,0.63,0,0.13,0.2,0.73,0.41,0.78,175,0.53,1,189
Railways,West Bengal,Murshidabad,22.05,40,0.67,0.75,0,0.19,0.85,0.68,0.75,0.22,147,0.63,1,176
Industrial Corridors,Bihar,Gaya,11.56,17,0.42,0.41,0,0.4,0.79,0.42,0.22,0.86,135,0.61,1,235
Railways,Rajasthan,Kota,18.54,60,0.9,0.93,0,0.17,0.84,0.44,0.06,0.53,118,0.38,0,0
Urban Infrastructure,Rajasthan,Udaipur,82.82,172,0.7,0.72,1,0.99,0.37,0.86,0.87,0.58,258,0.26,1,213
Water Resources,Uttar Pradesh,Varanasi,82.64,91,0.74,0.24,0,0.62,0.73,0.74,0.5,0.68,195,0.31,1,190
Railways,Karnataka,Bengaluru Urban,112.84,101,0.31,0.31,0,0.54,0.3,0.7,0.36,0.41,142,0.25,1,305
Urban Infrastructure,Karnataka,Bengaluru Urban,33.39,44,0.24,0.35,0,0.81,0.11,0.13,0.79,0.65,217,0.32,1,193
Railways,Gujarat,Kutch,41.14,39,0.44,0.39,0,0.98,0.88,0.27,0.07,0.72,183,0.06,1,161
Industrial Corridors,Uttar Pradesh,Agra,83.8,40,0.75,0.77,0,0.96,0.57,0.97,0.23,0.29,161,0.08,0,0
Solar Parks,Maharashtra,Aurangabad,10.21,32,0.9,0.27,0,0.81,0.99,0.51,0.19,0.59,113,0.51,1,232
Railways,Karnataka,Dakshina Kannada,63.09,114,0.46,0.47,0,0.44,0.45,0.8,0.71,0.45,122,0.25,0,0
Industrial Corridors,Tamil Nadu,Tiruchirappalli,93.87,72,0.76,0.91,0,0.16,0.96,0.45,0.33,0.62,203,0.53,1,286
Mining,Madhya Pradesh,Indore,16.26,23,0.5,0.63,1,0.19,0.65,0.79,0.75,0.22,193,0.34,1,252
Urban Infrastructure,Maharashtra,Pune,100.09,157,0.35,0.41,0,0.1,0.56,0.21,0.09,0.76,98,0.53,0,0
Highways,Bihar,Darbhanga,171.77,243,0.73,0.95,1,0.1,0.37,0.14,0.6,0.33,141,0.45,1,297
Water Resources,Tamil Nadu,Kanchipuram,61.7,75,0.78,0.39,0,0.94,0.84,0.52,0.34,0.72,190,0.17,0,0
Highways,Tamil Nadu,Salem,53.28,90,0.27,0.91,1,0.93,0.85,0.63,0.22,0.78,210,0.32,1,195
Urban Infrastructure,Uttar Pradesh,Gorakhpur,13.52,36,0.36,0.77,0,0.7,0.48,0.39,0.79,0.76,183,0.47,0,0
Solar Parks,Gujarat,Ahmedabad,77.9,155,0.52,0.78,0,0.75,0.75,0.74,0.42,0.81,139,0.25,0,0
Railways,Bihar,Gaya,14.58,16,0.26,0.8,0,0.56,0.5,0.55,0.56,0.43,170,0.17,0,0
Solar Parks,Karnataka,Dakshina Kannada,44.51,44,0.89,0.6,0,0.31,0.77,0.94,0.08,0.93,150,0.37,1,226
Highways,Uttar Pradesh,Gorakhpur,48.27,109,0.6,0.84,1,0.92,0.99,0.18,0.76,0.22,177,0.21,1,292
Water Resources,Karnataka,Ballari,2.37,16,0.2,0.85,1,0.35,0.34,0.16,0.31,0.56,226,0.41,0,0
Industrial Corridors,Uttar Pradesh,Kanpur,45.82,72,0.26,0.48,0,0.77,0.67,0.91,0.67,0.4,124,0.21,0,0
Water Resources,Uttar Pradesh,Kanpur,269.66,148,0.91,0.51,0,0.32,0.44,0.7,0.73,0.75,172,0.59,1,221
Urban Infrastructure,Uttar Pradesh,Agra,6.21,30,0.73,0.89,1,0.88,0.59,0.7,0.16,0.8,155,0.26,1,213
Urban Infrastructure,Gujarat,Rajkot,31.72,57,0.72,0.61,1,0.69,0.89,0.12,0.32,0.82,148,0.59,1,259
Solar Parks,Uttar Pradesh,Agra,6.97,8,0.16,0.88,0,0.68,0.41,0.94,0.7,0.42,153,0.22,1,139
Industrial Corridors,Odisha,Bhubaneswar,16.19,37,0.86,0.69,1,0.19,0.17,0.79,0.26,0.41,219,0.41,1,267
Solar Parks,Madhya Pradesh,Gwalior,7.07,30,0.48,0.66,0,0.48,0.82,0.79,0.81,0.71,186,0.13,0,0
Railways,Karnataka,Bengaluru Urban,37.62,74,0.66,0.22,0,0.57,0.6,0.92,0.33,0.9,138,0.52,1,197
Mining,Maharashtra,Aurangabad,62.48,116,0.92,0.42,1,0.36,0.5,0.62,0.41,0.39,189,0.17,1,259
Industrial Corridors,West Bengal,Murshidabad,45.96,41,0.19,0.59,0,0.89,0.26,0.46,0.14,0.88,134,0.57,0,0
Mining,Bihar,Gaya,15.73,36,0.51,0.66,0,0.85,0.18,0.53,0.18,0.64,79,0.32,0,0
Water Resources,Rajasthan,Jodhpur,20.34,28,0.14,0.69,0,0.54,0.35,0.8,0.3,0.75,56,0.11,0,0
Railways,Gujarat,Kutch,41.17,69,0.52,0.76,0,0.41,0.75,0.79,0.09,0.53,182,0.27,1,303
Mining,Maharashtra,Pune,16.13,37,0.31,0.71,0,0.82,0.47,0.65,0.22,0.81,147,0.52,0,0
Highways,Tamil Nadu,Madurai,11.44,10,0.87,0.86,1,0.28,0.61,0.3,0.42,0.93,204,0.1,0,0
Water Resources,Odisha,Bhubaneswar,27.35,52,0.44,0.43,0,0.16,0.17,0.84,0.39,0.33,177,0.43,1,203
Mining,Rajasthan,Jaipur,15.55,48,0.64,0.7,0,0.14,0.21,0.68,0.23,0.49,171,0.35,1,209
Railways,West Bengal,Howrah,46.03,105,0.83,0.24,0,0.13,0.11,0.3,0.12,0.85,139,0.24,1,246
Mining,Maharashtra,Thane,93.59,47,0.94,0.57,1,0.54,0.71,0.53,0.34,0.33,183,0.5,1,318
Urban Infrastructure,Rajasthan,Bhilwara,264.56,317,0.53,0.41,0,0.33,0.34,1.0,0.72,0.51,229,0.08,1,248
Solar Parks,Maharashtra,Aurangabad,43.4,45,0.49,0.5,1,0.72,0.97,0.4,0.51,0.32,69,0.35,0,0
Highways,Odisha,Jharsuguda,55.52,101,0.16,0.48,0,0.69,0.38,0.2,0.9,0.69,153,0.35,0,0
Urban Infrastructure,West Bengal,Howrah,20.5,9,0.11,0.25,1,0.59,0.43,0.12,0.18,0.38,220,0.1,1,251
Urban Infrastructure,Tamil Nadu,Coimbatore,21.54,45,0.62,0.56,0,0.42,0.52,0.27,0.24,0.49,108,0.13,0,0
Railways,Uttar Pradesh,Varanasi,92.5,65,0.16,0.98,0,0.87,0.39,0.27,0.3,0.57,166,0.3,0,0
Solar Parks,Karnataka,Belagavi,26.55,55,0.42,0.43,1,0.74,0.84,0.87,0.06,0.42,129,0.37,0,0
Solar Parks,Tamil Nadu,Coimbatore,35.11,82,0.1,0.77,0,0.34,0.89,0.24,0.9,0.71,147,0.08,0,0
Industrial Corridors,Uttar Pradesh,Lucknow,88.09,141,0.62,0.63,0,0.55,0.11,0.88,0.45,0.28,80,0.06,0,0
Water Resources,Gujarat,Ahmedabad,26.71,42,0.46,0.45,0,0.24,0.69,0.18,0.48,0.86,204,0.17,0,0
Highways,Madhya Pradesh,Jabalpur,109.98,127,0.21,0.27,1,0.4,0.72,0.92,0.19,0.56,166,0.34,1,229
Water Resources,Bihar,Gaya,52.37,102,0.35,0.37,0,1.0,0.97,0.33,0.84,0.63,95,0.07,0,0
Railways,Bihar,Patna,47.67,68,0.58,0.81,0,0.3,0.43,0.65,0.67,0.67,178,0.49,0,0
Highways,Karnataka,Bengaluru Urban,19.72,48,0.66,0.42,0,0.73,0.28,0.24,0.44,0.24,169,0.14,1,225
Industrial Corridors,West Bengal,Hooghly,49.76,64,0.49,0.31,0,0.31,0.57,0.45,0.84,0.77,129,0.51,0,0
Mining,Odisha,Cuttack,23.49,48,0.78,0.46,0,0.94,0.5,0.18,0.86,0.91,248,0.17,1,164
Urban Infrastructure,West Bengal,North 24 Parganas,48.21,34,0.2,0.66,0,0.38,0.81,0.62,0.09,0.59,183,0.26,0,0
Highways,Odisha,Bhubaneswar,30.52,57,0.17,0.75,0,0.41,0.91,0.41,0.16,0.49,218,0.34,0,0
Water Resources,West Bengal,Murshidabad,71.77,65,0.14,0.5,0,0.63,0.18,0.87,0.07,0.79,152,0.26,0,0
Urban Infrastructure,Madhya Pradesh,Ujjain,32.28,79,0.56,0.59,0,0.63,0.86,0.26,0.57,0.74,86,0.06,0,0
Railways,Gujarat,Ahmedabad,169.07,250,0.7,0.55,0,0.62,0.92,0.35,0.25,0.69,55,0.6,0,0
Water Resources,Gujarat,Ahmedabad,26.56,73,0.21,0.21,0,0.62,0.93,0.26,0.81,0.92,114,0.22,0,0
Mining,Uttar Pradesh,Lucknow,21.59,24,0.64,0.51,0,0.38,0.79,0.61,0.47,0.64,220,0.13,0,0
Railways,Rajasthan,Udaipur,43.68,51,0.51,0.66,0,0.49,0.77,0.2,0.8,0.39,137,0.13,0,0
Mining,Gujarat,Rajkot,78.44,153,0.94,0.64,1,0.63,0.11,0.27,0.55,0.22,206,0.63,1,359
Mining,Gujarat,Ahmedabad,77.95,80,0.71,0.78,0,0.7,0.93,0.71,0.77,0.54,107,0.12,0,0
Urban Infrastructure,Tamil Nadu,Kanchipuram,37.84,44,0.66,0.72,1,0.33,0.42,0.17,0.38,0.69,130,0.26,1,237
Railways,Tamil Nadu,Coimbatore,43.44,85,0.58,0.42,0,0.73,0.14,0.77,0.9,0.33,136,0.09,0,0
Railways,Uttar Pradesh,Kanpur,43.49,68,0.95,0.4,1,0.93,0.47,0.19,0.65,0.22,170,0.49,1,300
Highways,Rajasthan,Jaipur,13.98,20,0.93,0.56,1,0.78,0.76,0.63,0.59,0.88,99,0.41,0,0
Water Resources,Karnataka,Mysuru,75.13,126,0.56,0.77,1,0.18,0.5,1.0,0.37,0.43,124,0.37,1,221
Railways,Tamil Nadu,Tiruchirappalli,12.11,17,0.49,0.27,0,0.52,0.78,0.26,0.89,0.55,149,0.56,1,232
Highways,Karnataka,Bengaluru Urban,14.0,32,0.49,0.94,0,0.49,0.56,0.33,0.35,0.27,99,0.39,1,169
Solar Parks,Maharashtra,Pune,34.61,22,0.46,0.62,1,0.4,0.37,0.91,0.8,0.49,80,0.62,0,0
Solar Parks,Tamil Nadu,Coimbatore,25.64,42,0.55,0.44,0,0.54,0.28,0.66,0.41,0.52,161,0.42,1,198
Solar Parks,Madhya Pradesh,Jabalpur,62.61,52,0.33,0.74,1,0.5,0.48,0.54,0.74,0.88,100,0.26,0,0
Industrial Corridors,Rajasthan,Jaipur,47.36,75,0.89,0.23,0,0.11,0.13,0.61,0.87,0.85,214,0.07,0,0
Railways,Uttar Pradesh,Gorakhpur,36.99,14,0.52,0.58,0,0.31,0.48,0.37,0.47,0.34,215,0.49,0,0
Industrial Corridors,Maharashtra,Pune,13.46,46,0.82,0.58,1,0.29,0.16,0.87,0.52,0.62,133,0.27,1,355
Water Resources,Rajasthan,Bhilwara,33.83,56,0.5,0.33,1,0.41,0.89,0.77,0.35,0.75,187,0.41,0,0
Railways,Madhya Pradesh,Gwalior,31.75,22,0.71,0.85,0,0.26,0.62,0.68,0.1,0.42,163,0.58,1,201
Highways,Rajasthan,Kota,39.56,82,0.39,0.82,0,0.16,0.68,0.94,0.64,0.5,208,0.05,1,343
Industrial Corridors,Madhya Pradesh,Ujjain,23.48,28,0.63,0.32,1,0.28,0.36,0.62,0.16,0.94,139,0.51,1,275
Industrial Corridors,Madhya Pradesh,Jabalpur,50.31,37,0.52,0.48,0,0.87,0.3,0.56,0.37,0.77,182,0.31,1,173
Water Resources,Karnataka,Bengaluru Urban,25.1,28,0.41,0.28,0,0.82,0.74,0.98,0.36,0.53,174,0.12,1,181
Industrial Corridors,West Bengal,North 24 Parganas,46.68,56,0.85,0.86,0,0.5,0.7,0.29,0.19,0.6,171,0.4,1,203
